time_mean_ms,time_median_ms,gc_time_mean_ms,gc_time_median_ms,case_short,case_long,strategy,variant,language,cpu,gpu
99.81278,101.69672,4.0985184,0.0,LDC-S,LDC-S,faceBased,DivOnlyDynamicCDF,julia,true,false
105.4092,103.057816,8.083513,0.0,LDC-S,LDC-S,faceBased,PrecalculatedWeightsUpwind,julia,true,false
102.97825,101.66729,3.0298357,0.0,LDC-S,LDC-S,faceBased,DivOnlyHardCodedUpwind,julia,true,false
42.974182,33.386826,9.064015,0.0,LDC-S,LDC-S,faceBased,LaplaceOnly,julia,true,false
101.436844,96.292114,4.461367,0.0,LDC-S,LDC-S,faceBased,DynamicCDF,julia,true,false
97.60041,94.639046,2.2635348,0.0,LDC-S,LDC-S,faceBased,DivOnlyHardCodedCDF,julia,true,false
107.740364,105.830284,2.0717957,0.0,LDC-S,LDC-S,faceBased,DivOnlyPrecalculatedWeightsCDF,julia,true,false
113.69413,111.92299,4.249827,0.0,LDC-S,LDC-S,faceBased,HardCodedUpwind,julia,true,false
107.04339,103.7506,2.0586722,0.0,LDC-S,LDC-S,faceBased,DivOnlyPrecalculatedWeightsUpwind,julia,true,false
111.25146,109.67613,2.1973982,0.0,LDC-S,LDC-S,faceBased,DivOnlyDynamicUpwind,julia,true,false
102.538,96.49391,4.9946847,0.0,LDC-S,LDC-S,faceBased,PrecalculatedWeightsCDF,julia,true,false
102.51867,97.2109,5.0560226,0.0,LDC-S,LDC-S,faceBased,HardCodedCDF,julia,true,false
113.01719,107.462036,4.427753,0.0,LDC-S,LDC-S,faceBased,DynamicUpwind,julia,true,false
98.138504,95.409805,2.2843053,0.0,LDC-S,LDC-S,globalFaceBased,DivOnlyDynamicCDF,julia,true,false
119.42646,114.79905,4.1690044,0.0,LDC-S,LDC-S,globalFaceBased,PrecalculatedWeightsUpwind,julia,true,false
110.580315,109.22819,2.125856,0.0,LDC-S,LDC-S,globalFaceBased,DivOnlyHardCodedUpwind,julia,true,false
43.394638,34.0,8.766634,0.0,LDC-S,LDC-S,globalFaceBased,LaplaceOnly,julia,true,false
114.27092,108.67649,3.4712114,0.0,LDC-S,LDC-S,globalFaceBased,DynamicCDF,julia,true,false
99.1891,97.739235,2.3201544,0.0,LDC-S,LDC-S,globalFaceBased,DivOnlyHardCodedCDF,julia,true,false
111.12895,107.9873,1.9438074,0.0,LDC-S,LDC-S,globalFaceBased,DivOnlyPrecalculatedWeightsCDF,julia,true,false
116.83589,111.536224,4.088986,0.0,LDC-S,LDC-S,globalFaceBased,HardCodedUpwind,julia,true,false
110.503494,108.309074,2.1229966,0.0,LDC-S,LDC-S,globalFaceBased,DivOnlyPrecalculatedWeightsUpwind,julia,true,false
112.21041,110.895164,2.2008104,0.0,LDC-S,LDC-S,globalFaceBased,DivOnlyDynamicUpwind,julia,true,false
119.82996,115.56918,4.1592484,0.0,LDC-S,LDC-S,globalFaceBased,PrecalculatedWeightsCDF,julia,true,false
115.747955,111.59677,5.0397615,0.0,LDC-S,LDC-S,globalFaceBased,HardCodedCDF,julia,true,false
117.03802,113.474144,4.320362,0.0,LDC-S,LDC-S,globalFaceBased,DynamicUpwind,julia,true,false
174.78192,176.9659,1.220662,0.0,LDC-S,LDC-S,cellBased,DivOnlyDynamicCDF,julia,true,false
200.6783,200.07503,3.0993147,0.0,LDC-S,LDC-S,cellBased,PrecalculatedWeightsUpwind,julia,true,false
173.36476,175.37686,1.2966427,0.0,LDC-S,LDC-S,cellBased,DivOnlyHardCodedUpwind,julia,true,false
72.33852,70.09299,7.5146756,0.0,LDC-S,LDC-S,cellBased,LaplaceOnly,julia,true,false
196.0165,196.36536,2.19666,0.0,LDC-S,LDC-S,cellBased,DynamicCDF,julia,true,false
174.29303,176.16905,1.2916886,0.0,LDC-S,LDC-S,cellBased,DivOnlyHardCodedCDF,julia,true,false
190.75346,191.44331,1.3950826,0.0,LDC-S,LDC-S,cellBased,DivOnlyPrecalculatedWeightsCDF,julia,true,false
190.7126,191.3527,3.0258849,0.0,LDC-S,LDC-S,cellBased,HardCodedUpwind,julia,true,false
188.82117,191.36554,1.2808979,0.0,LDC-S,LDC-S,cellBased,DivOnlyPrecalculatedWeightsUpwind,julia,true,false
173.0226,175.34335,1.5949985,0.0,LDC-S,LDC-S,cellBased,DivOnlyDynamicUpwind,julia,true,false
199.16731,198.88855,3.0908434,0.0,LDC-S,LDC-S,cellBased,PrecalculatedWeightsCDF,julia,true,false
191.1071,191.40317,2.9573581,0.0,LDC-S,LDC-S,cellBased,DynamicUpwind,julia,true,false
196.68799,196.57855,3.1329453,0.0,LDC-S,LDC-S,cellBased,HardCodedCDF,julia,true,false
759.035,804.94763,15.626095,0.0,Wind,Wind,faceBased,DivOnlyDynamicCDF,julia,true,false
712.0317,696.3376,10.915696,0.0,Wind,Wind,faceBased,PrecalculatedWeightsUpwind,julia,true,false
776.6408,752.034,4.6691103,0.0,Wind,Wind,faceBased,DivOnlyHardCodedUpwind,julia,true,false
284.25732,284.66296,18.960917,30.502832,Wind,Wind,faceBased,LaplaceOnly,julia,true,false
701.0549,678.83887,3.945565,0.0,Wind,Wind,faceBased,DynamicCDF,julia,true,false
680.2223,662.9335,3.963004,0.0,Wind,Wind,faceBased,DivOnlyHardCodedCDF,julia,true,false
765.7218,762.02234,4.84182,0.0,Wind,Wind,faceBased,DivOnlyPrecalculatedWeightsCDF,julia,true,false
795.2234,790.1169,4.6833715,0.0,Wind,Wind,faceBased,HardCodedUpwind,julia,true,false
752.6351,748.22577,4.583425,0.0,Wind,Wind,faceBased,DivOnlyPrecalculatedWeightsUpwind,julia,true,false
754.7332,750.1244,4.682712,0.0,Wind,Wind,faceBased,DivOnlyDynamicUpwind,julia,true,false
684.6424,674.9611,3.9528396,0.0,Wind,Wind,faceBased,PrecalculatedWeightsCDF,julia,true,false
682.2653,673.0098,4.1045523,0.0,Wind,Wind,faceBased,HardCodedCDF,julia,true,false
793.67236,789.05273,4.5731616,0.0,Wind,Wind,faceBased,DynamicUpwind,julia,true,false
756.0366,750.887,5.292581,0.0,Wind,Wind,globalFaceBased,DivOnlyDynamicCDF,julia,true,false
805.64734,800.4259,4.782013,0.0,Wind,Wind,globalFaceBased,PrecalculatedWeightsUpwind,julia,true,false
